Event,Time_CPU,Time_RTC,Ardn_time[ms],ADC[0-0123],SiPM[mV],Deadtime[ms],Temp[C]
156,11:01:41,0:13:57,180140,193,32.84,777,29.92
157,11:01:41,0:13:57,180931,335,61.77,782,29.92
158,11:01:42,0:13:59,182193,639,249.88,787,29.92
159,11:01:44,0:14:0,183487,163,28.20,792,29.92
160,11:01:44,0:14:1,184316,92,21.32,797,29.92
161,11:01:45,0:14:1,184410,339,62.98,802,29.92
162,11:01:46,0:14:2,185543,51,15.86,807,29.92
163,11:01:46,0:14:3,185740,159,27.66,812,29.92
164,11:01:47,0:14:3,186059,115,23.18,817,29.92
165,11:01:47,0:14:3,186900,287,50.23,822,29.92
166,11:01:48,0:14:4,186952,94,21.50,827,29.92
167,11:01:48,0:14:4,188069,248,42.69,832,29.92
168,11:01:50,0:14:6,189393,88,20.96,838,29.92
169,11:01:51,0:14:7,190649,384,80.08,843,29.92
170,11:01:55,0:14:12,195167,743,466.23,848,29.92
171,11:01:56,0:14:12,195208,99,21.91,853,29.92
172,11:01:56,0:14:13,195674,312,55.68,858,29.92
173,11:01:57,0:14:13,195998,472,125.87,863,29.92
174,11:02:01,0:14:17,201080,366,72.41,868,29.92
175,11:02:02,0:14:18,201287,193,32.84,873,29.92
176,11:02:05,0:14:21,204750,57,16.93,878,29.92
177,11:02:06,0:14:22,205505,56,16.76,883,29.92
178,11:02:07,0:14:23,206823,403,88.99,888,29.92
179,11:02:10,0:14:27,210071,73,19.32,893,29.92
180,11:02:11,0:14:27,210448,63,17.91,898,29.92
181,11:02:12,0:14:28,211558,159,27.66,903,29.92
182,11:02:14,0:14:30,213417,368,72.93,908,29.92
183,11:02:15,0:14:31,214296,620,217.12,913,29.92
184,11:02:16,0:14:32,215250,120,23.58,918,29.92
185,11:02:17,0:14:33,216652,67,18.51,923,29.92
186,11:02:18,0:14:34,217722,99,21.91,928,30.03
187,11:02:19,0:14:35,218921,428,101.58,933,29.92
188,11:02:20,0:14:36,219282,110,22.78,938,29.92
189,11:02:21,0:14:37,220406,444,109.09,943,29.92
190,11:02:21,0:14:38,221136,255,43.96,948,29.92
191,11:02:22,0:14:39,222215,76,19.69,953,29.92
192,11:02:23,0:14:39,222617,167,28.76,958,30.35
193,11:02:25,0:14:41,224960,412,92.93,963,30.03
194,11:02:27,0:14:43,226457,432,101.61,968,30.03
195,11:02:27,0:14:43,226680,88,20.96,973,29.92
196,11:02:30,0:14:47,230196,81,20.25,978,29.92
197,11:02:31,0:14:47,230231,103,22.23,983,29.92
198,11:02:32,0:14:48,231434,113,23.02,988,30.35
199,11:02:33,0:14:49,232598,376,76.43,993,30.14
200,11:02:34,0:14:50,233422,355,68.30,998,30.46
201,11:02:37,0:14:53,236814,224,38.29,1003,30.14
202,11:02:37,0:14:53,237195,127,24.18,1008,29.92
203,11:02:39,0:14:55,238603,252,43.42,1013,29.92
204,11:02:39,0:14:56,238784,332,61.17,1019,29.92
205,11:02:40,0:14:56,238804,574,181.47,1024,29.92
206,11:02:40,0:14:57,239729,142,25.64,1030,29.92
207,11:02:44,0:15:0,243685,176,30.09,1035,29.92
208,11:02:45,0:15:1,244747,449,112.05,1040,30.78
209,11:02:46,0:15:2,245715,63,17.91,1045,29.92
210,11:02:46,0:15:3,245748,284,49.41,1051,30.35
211,11:02:47,0:15:3,246312,220,37.58,1057,30.35
212,11:02:47,0:15:3,246701,108,22.63,1062,29.92
213,11:02:48,0:15:4,247549,99,21.91,1067,30.03
214,11:02:48,0:15:4,247984,159,27.66,1072,29.92
215,11:02:48,0:15:4,248111,115,23.18,1077,29.92
216,11:02:50,0:15:6,249311,110,22.78,1082,29.92
217,11:02:50,0:15:6,249476,275,47.73,1087,30.78
218,11:02:50,0:15:7,249944,263,45.37,1093,30.57
219,11:02:52,0:15:9,252011,224,38.29,1099,29.92
220,11:02:53,0:15:9,252155,497,142.37,1104,29.92
221,11:02:54,0:15:10,253385,339,62.98,1110,30.14
222,11:02:55,0:15:11,254312,515,147.53,1115,30.14
223,11:02:55,0:15:12,255139,710,362.55,1120,30.78
224,11:02:56,0:15:12,255447,390,82.70,1125,30.89
225,11:02:57,0:15:13,256478,108,22.63,1130,30.35
226,11:02:59,0:15:15,258468,112,22.94,1135,29.92
227,11:02:59,0:15:15,259203,286,49.78,1141,30.24
228,11:03:00,0:15:16,259561,352,66.89,1146,30.57
229,11:03:00,0:15:17,260049,193,32.84,1151,30.35
230,11:03:01,0:15:17,260124,135,24.92,1156,29.92
231,11:03:02,0:15:18,262252,255,43.96,1162,29.92
232,11:03:03,0:15:19,262406,184,31.36,1167,29.92
233,11:03:04,0:15:20,263203,359,69.86,1172,29.92
234,11:03:05,0:15:21,264287,348,65.64,1177,30.03
235,11:03:07,0:15:23,266900,220,37.58,1182,29.92
236,11:03:08,0:15:24,266985,79,20.03,1187,30.03
237,11:03:08,0:15:24,267354,62,17.75,1192,29.92
238,11:03:09,0:15:25,268170,211,35.96,1198,29.92
239,11:03:09,0:15:25,268890,255,43.96,1203,29.92
240,11:03:11,0:15:27,270482,49,15.48,1209,30.89
241,11:03:15,0:15:31,274525,176,30.09,1214,30.89
242,11:03:15,0:15:32,274601,159,27.66,1219,30.35
243,11:03:16,0:15:32,274957,511,149.39,1224,30.03
244,11:03:16,0:15:32,275460,60,17.43,1229,30.46
245,11:03:17,0:15:33,276250,134,24.82,1235,30.35
246,11:03:18,0:15:35,278239,318,57.28,1241,30.46
247,11:03:19,0:15:35,278750,575,187.30,1246,29.92
248,11:03:20,0:15:36,279624,71,19.06,1251,29.92
249,11:03:20,0:15:37,280170,193,32.84,1256,30.35
250,11:03:22,0:15:38,281797,124,23.92,1261,31.21
251,11:03:23,0:15:39,282865,103,22.23,1267,29.92
252,11:03:23,0:15:40,283313,412,92.93,1272,30.46
253,11:03:24,0:15:40,283375,135,24.92,1277,29.92
254,11:03:24,0:15:41,284033,102,22.15,1283,30.78
255,11:03:26,0:15:42,285308,60,17.43,1288,31.21
256,11:03:26,0:15:43,286151,255,43.96,1294,30.03
257,11:03:28,0:15:45,288082,284,49.41,1299,30.03
258,11:03:29,0:15:45,288491,444,109.09,1304,30.35
259,11:03:29,0:15:46,289173,135,24.92,1309,30.57
260,11:03:31,0:15:47,290627,126,24.09,1315,30.46
261,11:03:32,0:15:49,292011,271,46.93,1321,29.92
262,11:03:37,0:15:54,297113,455,117.03,1327,29.92
263,11:03:39,0:15:55,298483,63,17.91,1332,30.35
264,11:03:40,0:15:56,299655,76,19.69,1338,29.92
265,11:03:41,0:15:57,300600,295,51.75,1343,30.03
266,11:03:41,0:15:58,300823,126,24.09,1348,30.89
267,11:03:42,0:15:58,301860,504,143.61,1354,29.92
268,11:03:43,0:16:0,303169,70,18.93,1360,30.24
269,11:03:44,0:16:0,303563,398,85.63,1365,30.35
270,11:03:44,0:16:1,303947,307,54.48,1370,30.78
271,11:03:45,0:16:1,304155,97,21.75,1375,30.46
272,11:03:45,0:16:2,305102,71,19.06,1380,30.46
273,11:03:46,0:16:2,305681,255,43.96,1385,29.92
274,11:03:47,0:16:3,306784,60,17.43,1390,30.89
275,11:03:50,0:16:6,309614,289,50.47,1396,30.57
276,11:03:53,0:16:9,312576,268,46.26,1401,29.92
277,11:03:54,0:16:10,313780,280,48.67,1407,31.21
278,11:03:55,0:16:12,315084,263,45.37,1413,30.89
279,11:03:57,0:16:13,316556,384,80.08,1419,31.21
280,11:03:58,0:16:15,318022,412,92.93,1424,29.92
281,11:03:59,0:16:15,318832,113,23.02,1429,30.89
282,11:04:00,0:16:16,319749,403,88.99,1434,30.78
283,11:04:02,0:16:18,321332,537,162.17,1439,29.92
284,11:04:02,0:16:18,321649,451,113.08,1445,29.92
285,11:04:02,0:16:19,321796,300,52.79,1450,30.46
286,11:04:03,0:16:19,322020,391,82.35,1455,30.78
287,11:04:03,0:16:19,322490,384,80.08,1460,29.92
288,11:04:03,0:16:20,323150,316,56.81,1465,30.46
289,11:04:04,0:16:20,323463,319,57.64,1470,30.46
290,11:04:05,0:16:21,324302,67,18.51,1475,29.92
291,11:04:09,0:16:25,328178,131,24.54,1481,31.21
292,11:04:09,0:16:26,328974,415,95.00,1487,30.46
293,11:04:12,0:16:29,332029,638,261.42,1492,30.03
294,11:04:14,0:16:30,333435,368,72.93,1497,30.89
295,11:04:14,0:16:31,333786,415,95.00,1502,31.21
296,11:04:15,0:16:31,334083,140,25.42,1507,30.03
297,11:04:17,0:16:33,336813,111,22.86,1513,30.46
298,11:04:18,0:16:34,337473,704,326.52,1518,31.21
299,11:04:20,0:16:36,339904,255,43.96,1523,30.03
300,11:04:21,0:16:37,340047,319,57.64,1528,31.21
301,11:04:21,0:16:38,340955,88,20.96,1533,31.21
302,11:04:22,0:16:38,341045,312,55.68,1538,31.21
303,11:04:23,0:16:39,342388,319,57.64,1543,30.14
304,11:04:24,0:16:40,343298,415,95.00,1548,30.46
305,11:04:24,0:16:40,343451,504,143.61,1553,31.21
306,11:04:26,0:16:42,345660,83,20.46,1559,31.21
307,11:04:27,0:16:43,346338,348,65.64,1564,31.21
308,11:04:28,0:16:44,347526,63,17.91,1569,30.46
309,11:04:29,0:16:45,348519,81,20.25,1575,31.21
310,11:04:30,0:16:46,349271,88,20.96,1580,31.21
311,11:04:30,0:16:46,349801,369,73.42,1585,31.21
312,11:04:30,0:16:47,350162,152,26.78,1590,31.21
313,11:04:31,0:16:47,350504,236,40.44,1595,30.89
314,11:04:31,0:16:47,350708,263,45.37,1601,30.14
315,11:04:34,0:16:50,353430,124,23.92,1607,31.21
316,11:04:36,0:16:52,355481,415,95.00,1613,31.21
317,11:04:36,0:16:52,355733,248,42.69,1618,31.21
318,11:04:37,0:16:53,356114,103,22.23,1624,30.89
319,11:04:39,0:16:56,358989,384,80.08,1629,31.21
320,11:04:40,0:16:56,359159,113,23.02,1634,30.57
321,11:04:40,0:16:57,359947,108,22.63,1639,30.89
322,11:04:48,0:17:4,367510,262,45.24,1644,31.21
323,11:04:48,0:17:5,367685,185,31.51,1650,31.21
324,11:04:49,0:17:5,367794,289,50.47,1655,31.21
325,11:04:50,0:17:6,369366,115,23.18,1660,31.21
326,11:04:51,0:17:7,370478,444,109.09,1665,31.21
327,11:04:55,0:17:11,374210,71,19.06,1670,31.21
328,11:04:55,0:17:11,374959,152,26.78,1675,31.43
329,11:04:56,0:17:12,375214,204,34.73,1680,30.89
330,11:04:56,0:17:12,375531,316,56.81,1685,31.21
331,11:04:57,0:17:13,375902,289,50.47,1690,30.89
332,11:04:58,0:17:15,377958,129,24.35,1696,30.89
333,11:05:00,0:17:17,380084,384,80.08,1702,31.21
334,11:05:03,0:17:19,382200,167,28.76,1707,31.43
335,11:05:05,0:17:21,384934,231,39.55,1712,31.43
336,11:05:06,0:17:22,385098,304,53.73,1717,31.21
337,11:05:09,0:17:26,388989,88,20.96,1722,31.21
338,11:05:13,0:17:29,392341,112,22.94,1727,31.21
339,11:05:14,0:17:30,393186,465,122.12,1732,31.21
340,11:05:14,0:17:30,393567,335,61.77,1737,31.21
341,11:05:15,0:17:32,395095,88,20.96,1742,31.21
342,11:05:16,0:17:32,395334,63,17.91,1747,31.21
343,11:05:18,0:17:34,397353,275,47.73,1753,31.21
344,11:05:18,0:17:34,397502,319,57.64,1759,31.64
345,11:05:19,0:17:35,397633,248,42.69,1764,31.21
346,11:05:19,0:17:35,398656,339,62.98,1770,31.21
347,11:05:19,0:17:36,398825,62,17.75,1775,31.43
348,11:05:20,0:17:36,399557,97,21.75,1781,31.21
349,11:05:24,0:17:40,403132,352,66.89,1786,31.64
350,11:05:24,0:17:40,403483,560,175.34,1791,31.21
351,11:05:24,0:17:41,403589,127,24.18,1797,31.43
352,11:05:25,0:17:41,404780,412,92.93,1802,31.21
353,11:05:26,0:17:42,405496,51,15.86,1807,31.64
354,11:05:26,0:17:42,405811,248,42.69,1812,31.21
355,11:05:27,0:17:43,406266,112,22.94,1818,31.43
356,11:05:27,0:17:43,406686,332,61.17,1823,31.43
357,11:05:28,0:17:44,406941,195,33.17,1828,31.43
358,11:05:29,0:17:46,408982,63,17.91,1833,31.64
