,Time_CPU,Time_RTC,"Acceleration[(x,y,z),(m/s^2)]","Magnetometer[(x,y,z),(uT)]"
91,11:14:40,0:26:56,"(-9.56148375, -0.53544309, 0.07649187)","(45.0, 10.95, 42.3)"
92,11:14:51,0:27:7,"(-9.637975619999999, -0.53544309, 0.0)","(43.5, 10.95, 42.0)"
93,11:15:01,0:27:17,"(-9.676221555, -0.573689025, 0.038245935)","(43.199999999999996, 11.549999999999999, 42.3)"
94,11:15:15,0:27:31,"(-9.484991879999999, -0.53544309, 0.0)","(43.8, 11.85, 42.3)"
95,11:15:25,0:27:42,"(-9.484991879999999, -0.573689025, -0.038245935)","(43.35, 11.4, 42.0)"
96,11:15:36,0:27:52,"(-9.56148375, -0.49719715499999995, -0.15298374)","(44.25, 11.549999999999999, 42.15)"
97,11:15:47,0:28:3,"(-9.523237815, -0.573689025, 0.114737805)","(43.949999999999996, 11.85, 42.6)"
98,11:15:57,0:28:13,"(-9.599729685, -0.49719715499999995, 0.038245935)","(42.9, 11.4, 42.9)"
99,11:16:08,0:28:24,"(-9.637975619999999, -0.49719715499999995, -0.114737805)","(44.1, 11.549999999999999, 41.4)"
100,11:16:18,0:28:34,"(-9.56148375, -0.53544309, 0.07649187)","(42.9, 11.7, 42.15)"
101,11:16:29,0:28:46,"(-9.56148375, -0.49719715499999995, 0.038245935)","(44.699999999999996, 12.6, 43.05)"
102,11:16:40,0:28:56,"(-9.599729685, -0.53544309, -0.038245935)","(44.25, 11.85, 42.3)"
103,11:16:50,0:29:7,"(-9.484991879999999, -0.53544309, 0.22947561)","(43.5, 12.0, 41.699999999999996)"
104,11:17:01,0:29:17,"(-9.56148375, -0.53544309, 0.07649187)","(44.1, 12.15, 41.85)"
105,11:17:11,0:29:28,"(-9.523237815, -0.573689025, 0.038245935)","(44.699999999999996, 12.0, 41.699999999999996)"
106,11:17:22,0:29:38,"(-9.599729685, -0.53544309, 0.0)","(43.949999999999996, 11.549999999999999, 42.15)"
