,Time_CPU,Time_RTC,"Acceleration[(x,y,z),(m/s^2)]","Magnetometer[(x,y,z),(uT)]"
464,12:20:34,1:32:50,"(-19.50542685, -2.180018295, -1.338607725)","(24.75, -52.949999999999996, -31.2)"
465,12:20:44,1:33:0,"(-10.09692684, -1.262115855, -0.956148375)","(33.3, -47.4, -14.85)"
466,12:20:55,1:33:11,"(-11.282550825, -1.45334553, -1.950542685)","(27.9, 13.35, -32.699999999999996)"
467,12:21:05,1:33:21,"(-13.806782534999998, -1.338607725, -1.262115855)","(41.1, -16.5, 2.25)"
468,12:21:16,1:33:32,"(-10.938337409999999, -1.109132115, -0.84141057)","(30.15, 7.6499999999999995, -38.699999999999996)"
469,12:21:27,1:33:43,"(-6.387071144999999, -0.91790244, -1.07088618)","(39.9, -15.6, 7.05)"
470,12:21:37,1:33:53,"(-10.747107734999998, -1.14737805, -1.75931301)","(37.199999999999996, -27.15, -39.9)"
471,12:21:48,1:34:4,"(-18.58752441, -1.7975589449999998, -1.6063292699999998)","(34.05, 8.549999999999999, -28.349999999999998)"
472,12:21:58,1:34:14,"(-3.786347565, -0.49719715499999995, -0.267721545)","(15.149999999999999, 1.5, -54.15)"
473,12:22:09,1:34:25,"(-10.7088618, -1.37685366, -1.37685366)","(27.0, 9.0, -35.85)"
474,12:22:19,1:34:35,"(-7.649187, -1.1856239849999999, -0.68842683)","(45.449999999999996, -16.8, -6.0)"
475,12:22:30,1:34:46,"(-18.243310994999998, -2.638969515, -1.14737805)","(37.199999999999996, 7.199999999999999, -10.35)"
476,12:22:40,1:34:56,"(-10.211664644999999, -1.568083335, -0.8031646349999999)","(8.85, 8.4, 22.65)"
477,12:22:51,1:35:7,"(-11.16781302, -0.68842683, -1.30036179)","(11.85, 17.55, 13.35)"
478,12:23:01,1:35:17,"(-11.435534565, -1.45334553, -1.30036179)","(34.35, -45.75, -14.399999999999999)"
479,12:23:12,1:35:28,"(-9.064286595, -1.262115855, -0.9943943099999999)","(35.25, -23.849999999999998, 13.2)"
480,12:23:22,1:35:38,"(-6.0811036650000005, -0.956148375, -0.38245935)","(24.15, 18.3, 1.95)"
481,12:23:33,1:35:49,"(-10.135172775000001, -0.879656505, -1.75931301)","(13.799999999999999, -16.95, 29.4)"
482,12:23:43,1:35:59,"(-12.08571546, -1.491591465, -1.45334553)","(27.599999999999998, -51.9, -15.75)"
483,12:23:54,1:36:10,"(-15.60434148, -1.9887886199999998, -1.30036179)","(28.05, -34.65, 15.899999999999999)"
484,12:24:04,1:36:20,"(-13.500815055, -1.37685366, -1.7975589449999998)","(22.05, -4.8, -53.699999999999996)"
485,12:24:15,1:36:31,"(-8.299367895, -0.84141057, -1.14737805)","(27.599999999999998, -9.6, -50.85)"
486,12:24:26,1:36:41,"(-10.594123995, -1.30036179, -0.68842683)","(33.6, 5.1, -34.5)"
487,12:24:36,1:36:52,"(-14.303979689999998, -2.21826423, -1.5298374)","(46.05, -17.7, -19.05)"
488,12:24:47,1:37:3,"(-15.298374, -1.644575205, -1.874050815)","(44.1, -7.5, -20.4)"
489,12:24:58,1:37:14,"(-13.845028469999999, -1.644575205, -1.45334553)","(39.449999999999996, -38.25, -9.15)"
490,12:25:09,1:37:25,"(-11.77974798, -1.68282114, -1.644575205)","(39.3, -36.15, -27.75)"
491,12:25:19,1:37:35,"(-9.56148375, -0.879656505, -1.1856239849999999)","(30.15, 0.75, 15.149999999999999)"
492,12:25:30,1:37:46,"(-8.834810985, -0.91790244, -0.879656505)","(44.25, -19.95, -3.3)"
493,12:25:41,1:37:57,"(-8.337613829999999, -1.14737805, -1.22386992)","(25.95, -47.1, 5.1)"
494,12:25:51,1:38:7,"(-11.77974798, -1.30036179, -0.956148375)","(22.05, -20.25, -55.199999999999996)"
495,12:26:02,1:38:18,"(-13.653798795, -1.5298374, -1.4150995949999998)","(28.95, -45.0, -35.1)"
496,12:26:13,1:38:29,"(-12.62115855, -1.491591465, -1.37685366)","(23.7, 4.05, -47.699999999999996)"
497,12:26:23,1:38:39,"(-12.965371965, -1.5298374, -1.07088618)","(25.349999999999998, -50.55, 1.05)"
498,12:26:34,1:38:50,"(-8.911302854999999, -1.07088618, -0.650180895)","(25.95, -9.75, 25.2)"
499,12:26:44,1:39:0,"(-5.04846342, -0.91790244, -0.53544309)","(37.949999999999996, -30.9, 6.0)"
500,12:26:55,1:39:11,"(-9.40850001, -1.4150995949999998, -1.338607725)","(25.95, 18.599999999999998, -26.55)"
501,12:27:05,1:39:21,"(-13.883274405, -1.68282114, -0.8031646349999999)","(31.65, -25.05, -45.3)"
502,12:27:16,1:39:32,"(-14.762930909999998, -1.45334553, -1.45334553)","(40.05, -37.199999999999996, -13.049999999999999)"
503,12:27:26,1:39:42,"(-16.178030505, -1.6063292699999998, -1.75931301)","(31.65, -44.699999999999996, -26.4)"
504,12:27:37,1:39:53,"(-11.129567084999998, -1.22386992, -1.262115855)","(26.55, -51.15, -20.4)"
505,12:27:48,1:40:4,"(-11.129567084999998, -1.491591465, -0.726672765)","(32.4, -16.05, 19.8)"
506,12:27:58,1:40:14,"(-9.293762205, -1.032640245, -1.07088618)","(45.75, -14.399999999999999, -13.65)"
507,12:28:09,1:40:25,"(-9.867451229999999, -1.1856239849999999, -1.032640245)","(30.599999999999998, -31.95, 17.7)"
508,12:28:19,1:40:35,"(-6.463563015, -0.956148375, -0.49719715499999995)","(19.65, 26.7, -7.949999999999999)"
509,12:28:30,1:40:46,"(-11.435534565, -1.338607725, -1.14737805)","(45.6, -21.3, -16.349999999999998)"
510,12:28:40,1:40:56,"(-9.02604066, -1.262115855, -0.9943943099999999)","(34.65, 12.75, -23.7)"
511,12:28:51,1:41:7,"(-7.190235779999999, -1.07088618, -0.68842683)","(20.849999999999998, -47.55, -35.699999999999996)"
512,12:29:02,1:41:17,"(-8.299367895, -0.879656505, -0.956148375)","(38.25, 2.85, -30.45)"
513,12:29:12,1:41:28,"(-9.332008140000001, -1.262115855, -0.7649187)","(33.15, -31.049999999999997, -37.949999999999996)"
514,12:29:23,1:41:39,"(-8.452351635, -1.032640245, -0.956148375)","(44.85, -23.55, -10.65)"
515,12:29:33,1:41:49,"(-11.894485784999999, -1.338607725, -1.45334553)","(37.05, -20.55, 16.2)"
516,12:29:44,1:42:0,"(-6.8842683000000005, -0.91790244, -0.30596748)","(16.2, 28.349999999999998, -15.45)"
517,12:29:54,1:42:10,"(-7.763924804999999, -1.14737805, -0.7649187)","(45.15, -6.8999999999999995, -5.3999999999999995)"
518,12:30:05,1:42:21,"(-9.332008140000001, -0.9943943099999999, -0.879656505)","(37.199999999999996, 8.1, 4.8)"
519,12:30:15,1:42:31,"(-10.09692684, -1.30036179, -0.49719715499999995)","(30.9, 0.75, 19.95)"
520,12:30:26,1:42:42,"(-9.752713425, -1.109132115, -0.8031646349999999)","(40.949999999999996, 4.5, 0.15)"
521,12:30:36,1:42:52,"(-7.955154479999999, -1.14737805, -1.032640245)","(22.5, 24.9, -0.6)"
522,12:30:47,1:43:3,"(-9.676221555, -0.956148375, -0.9943943099999999)","(42.6, 2.55, -17.55)"
523,12:30:58,1:43:14,"(-10.47938619, -1.30036179, -0.68842683)","(42.0, -2.55, 5.25)"
524,12:31:08,1:43:24,"(-7.80217074, -1.032640245, -1.07088618)","(41.25, -35.25, -11.25)"
525,12:31:19,1:43:35,"(-8.911302854999999, -1.1856239849999999, -1.14737805)","(37.8, 6.8999999999999995, -23.4)"
526,12:31:29,1:43:45,"(-10.670615864999998, -1.30036179, -0.7649187)","(35.1, 6.1499999999999995, 13.95)"
527,12:31:40,1:43:56,"(-10.211664644999999, -1.1856239849999999, -1.032640245)","(28.799999999999997, 20.25, -21.599999999999998)"
528,12:31:50,1:44:6,"(-8.49059757, -1.07088618, -0.879656505)","(34.8, 6.0, -31.65)"
529,12:32:01,1:44:17,"(-8.72007318, -1.032640245, -0.726672765)","(33.3, 19.349999999999998, -3.9)"
530,12:32:11,1:44:27,"(-10.32640245, -1.262115855, -1.07088618)","(46.199999999999996, -5.3999999999999995, -0.6)"
531,12:32:22,1:44:38,"(-10.135172775000001, -1.568083335, -1.07088618)","(34.5, 10.049999999999999, 14.1)"
532,12:32:33,1:44:49,"(-11.817993914999999, -1.491591465, -1.22386992)","(45.6, -20.849999999999998, -9.15)"
533,12:32:43,1:44:59,"(-9.637975619999999, -1.30036179, -0.8031646349999999)","(46.199999999999996, -12.0, -17.4)"
534,12:32:54,1:45:10,"(-8.452351635, -1.07088618, -0.84141057)","(44.85, -23.4, -1.65)"
535,12:33:04,1:45:20,"(-11.588518305000001, -1.22386992, -1.22386992)","(39.15, -27.0, -27.9)"
536,12:33:15,1:45:31,"(-9.637975619999999, -1.14737805, -0.68842683)","(30.75, -12.6, 27.45)"
537,12:33:26,1:45:42,"(-9.140778465, -1.1856239849999999, -0.420705285)","(31.95, 21.3, -2.55)"
538,12:33:36,1:45:52,"(-8.987794725, -0.956148375, -0.650180895)","(29.099999999999998, 10.2, -38.1)"
539,12:33:47,1:46:3,"(-7.49620326, -0.956148375, -0.420705285)","(30.0, 23.099999999999998, -3.4499999999999997)"
540,12:33:57,1:46:13,"(-8.108138219999999, -0.9943943099999999, -0.68842683)","(41.1, -31.049999999999997, -18.599999999999998)"
541,12:34:08,1:46:24,"(-9.217270335, -1.14737805, -0.879656505)","(40.05, -9.299999999999999, -31.5)"
542,12:34:18,1:46:34,"(-10.78535367, -1.5298374, -0.9943943099999999)","(46.35, -11.1, -14.25)"
543,12:34:29,1:46:45,"(-9.867451229999999, -1.338607725, -0.68842683)","(43.35, 9.15, -6.3)"
544,12:34:40,1:46:55,"(-7.763924804999999, -0.956148375, -0.68842683)","(46.35, -7.5, 3.15)"
545,12:34:50,1:47:6,"(-9.484991879999999, -1.07088618, -0.726672765)","(41.85, 7.8, 4.95)"
546,12:35:01,1:47:17,"(-10.938337409999999, -1.22386992, -1.109132115)","(36.15, -9.6, 25.349999999999998)"
547,12:35:11,1:47:27,"(-8.375859765, -1.14737805, -1.262115855)","(20.55, 30.299999999999997, -8.1)"
548,12:35:22,1:47:38,"(-7.6109410650000004, -0.68842683, -0.650180895)","(34.199999999999996, 4.2, 24.3)"
549,12:35:32,1:47:48,"(-6.1958414699999995, -0.8031646349999999, -0.7649187)","(39.9, -17.099999999999998, -28.95)"
550,12:35:43,1:47:59,"(-7.190235779999999, -1.07088618, -0.61193496)","(33.3, 21.45, -12.0)"
551,12:35:53,1:48:9,"(-9.332008140000001, -1.491591465, -0.9943943099999999)","(35.699999999999996, 15.899999999999999, -19.65)"
552,12:36:04,1:48:20,"(-9.79095936, -1.1856239849999999, -0.726672765)","(41.699999999999996, -11.1, 16.65)"
553,12:36:15,1:48:30,"(-10.594123995, -1.491591465, -0.84141057)","(45.6, -10.2, -16.2)"
554,12:36:25,1:48:41,"(-8.911302854999999, -1.22386992, -0.91790244)","(43.5, 7.05, -11.4)"
555,12:36:36,1:48:52,"(-9.10253253, -0.956148375, -0.726672765)","(40.949999999999996, -27.3, -21.0)"
556,12:36:46,1:49:2,"(-9.064286595, -0.9943943099999999, -0.650180895)","(46.5, -1.7999999999999998, -2.55)"
557,12:36:57,1:49:13,"(-9.637975619999999, -1.30036179, -0.53544309)","(43.35, 7.8, 3.0)"
558,12:37:07,1:49:23,"(-10.517632125, -1.4150995949999998, -0.879656505)","(40.35, 10.5, -16.95)"
559,12:37:18,1:49:34,"(-9.829205295, -1.1856239849999999, -0.84141057)","(37.949999999999996, -36.15, 4.05)"
560,12:37:28,1:49:44,"(-8.069892285, -1.109132115, -0.879656505)","(40.05, -33.449999999999996, 1.05)"
561,12:37:39,1:49:55,"(-8.56708944, -1.032640245, -0.956148375)","(43.65, -21.0, -15.0)"
562,12:37:49,1:50:5,"(-10.976583345, -1.22386992, -0.726672765)","(43.5, -21.45, 10.95)"
563,12:38:00,1:50:16,"(-9.332008140000001, -1.14737805, -1.07088618)","(40.05, 5.7, 20.099999999999998)"
564,12:38:11,1:50:27,"(-10.32640245, -1.22386992, -0.91790244)","(40.05, 10.049999999999999, 15.299999999999999)"
565,12:38:21,1:50:37,"(-9.637975619999999, -0.84141057, -1.032640245)","(48.449999999999996, -8.1, -4.05)"
566,12:38:32,1:50:48,"(-9.523237815, -1.22386992, -0.879656505)","(43.5, 0.44999999999999996, 15.75)"
567,12:38:42,1:50:58,"(-7.534449195, -0.956148375, -0.45895122)","(46.8, -1.3499999999999999, 3.75)"
568,12:38:53,1:51:9,"(-8.987794725, -1.1856239849999999, -0.53544309)","(46.199999999999996, -16.2, 3.5999999999999996)"
569,12:39:06,1:51:22,"(-7.840416675, -1.07088618, -0.7649187)","(34.35, -22.05, -29.549999999999997)"
570,12:39:16,1:51:32,"(-8.681827245, -1.07088618, -0.726672765)","(34.8, 7.949999999999999, 27.3)"
571,12:39:27,1:51:43,"(-8.64358131, -1.30036179, -0.7649187)","(38.1, 16.65, 12.9)"
572,12:39:38,1:51:54,"(-9.446745945, -1.14737805, -0.84141057)","(40.5, -8.4, 21.9)"
573,12:39:48,1:52:4,"(-8.987794725, -1.032640245, -0.91790244)","(44.699999999999996, -13.95, 16.05)"
574,12:39:59,1:52:15,"(-6.387071144999999, -0.956148375, -0.573689025)","(43.35, -24.45, -13.2)"
575,12:40:09,1:52:25,"(-8.069892285, -0.879656505, -0.68842683)","(45.75, -4.05, 12.9)"
576,12:40:20,1:52:36,"(-10.058680905000001, -1.1856239849999999, -0.726672765)","(43.5, -24.0, 11.7)"
577,12:40:31,1:52:47,"(-10.173418709999998, -1.07088618, -0.7649187)","(30.75, 26.7, -12.9)"
578,12:40:41,1:52:57,"(-8.03164635, -0.91790244, -0.7649187)","(32.25, 21.0, -19.8)"
579,12:40:52,1:53:8,"(-7.6874329349999995, -1.109132115, -0.7649187)","(38.4, -20.55, 22.95)"
580,12:41:02,1:53:18,"(-10.594123995, -1.37685366, -0.956148375)","(32.25, 25.65, 5.1)"
581,12:41:13,1:53:29,"(-9.867451229999999, -0.9943943099999999, -0.726672765)","(38.55, 6.0, -23.55)"
582,12:41:23,1:53:39,"(-9.56148375, -1.1856239849999999, -0.7649187)","(43.65, -11.549999999999999, 19.95)"
583,12:41:34,1:53:50,"(-10.517632125, -1.1856239849999999, -0.879656505)","(45.75, 2.55, -12.9)"
584,12:41:44,1:54:0,"(-10.55587806, -0.9943943099999999, -1.22386992)","(48.3, -4.05, -2.6999999999999997)"
585,12:41:55,1:54:11,"(-8.26112196, -0.956148375, -0.68842683)","(46.35, 6.6, -4.05)"
586,12:42:05,1:54:21,"(-8.4141057, -1.14737805, -0.7649187)","(45.0, -1.05, 18.9)"
587,12:42:16,1:54:32,"(-9.10253253, -1.109132115, -0.879656505)","(47.55, -12.0, 6.6)"
588,12:42:26,1:54:42,"(-9.676221555, -1.262115855, -0.956148375)","(44.55, 9.9, 1.5)"
589,12:42:37,1:54:53,"(-8.605335375, -1.14737805, -0.68842683)","(46.05, -6.8999999999999995, 14.85)"
590,12:42:48,1:55:3,"(-7.763924804999999, -0.91790244, -0.650180895)","(46.199999999999996, -16.5, 4.8)"
591,12:42:58,1:55:14,"(-10.02043497, -1.262115855, -0.9943943099999999)","(42.449999999999996, 7.6499999999999995, -14.399999999999999)"
592,12:43:09,1:55:25,"(-11.206058955000001, -1.22386992, -0.9943943099999999)","(42.9, 9.75, 15.75)"
593,12:43:19,1:55:35,"(-11.206058955000001, -1.37685366, -0.879656505)","(38.25, -19.2, 26.7)"
594,12:43:30,1:55:46,"(-9.9439431, -1.109132115, -0.7649187)","(37.65, -25.5, 22.349999999999998)"
595,12:43:40,1:55:56,"(-8.987794725, -1.109132115, -0.68842683)","(32.4, 20.7, 25.2)"
596,12:43:51,1:56:7,"(-8.18463009, -0.9943943099999999, -0.7649187)","(41.85, 13.5, -9.75)"
597,12:44:01,1:56:17,"(-7.763924804999999, -1.07088618, -0.8031646349999999)","(43.5, -21.75, 14.549999999999999)"
598,12:44:12,1:56:28,"(-8.94954879, -1.07088618, -0.650180895)","(31.2, 27.599999999999998, 15.0)"
599,12:44:22,1:56:38,"(-10.441140255, -1.1856239849999999, -0.84141057)","(44.4, -6.75, -15.75)"
600,12:44:33,1:56:49,"(-10.632369930000001, -1.14737805, -1.032640245)","(45.3, -16.349999999999998, -8.85)"
601,12:44:44,1:57:0,"(-9.905697165000001, -1.14737805, -0.879656505)","(35.699999999999996, 16.8, 26.099999999999998)"
602,12:44:54,1:57:10,"(-9.905697165000001, -1.22386992, -0.84141057)","(45.75, -18.75, -1.2)"
603,12:45:05,1:57:21,"(-9.10253253, -1.1856239849999999, -0.726672765)","(42.6, 5.25, -17.25)"
604,12:45:15,1:57:31,"(-6.616546754999999, -0.91790244, -0.573689025)","(36.0, -2.55, 34.8)"
605,12:45:26,1:57:42,"(-8.64358131, -0.9943943099999999, -0.650180895)","(44.85, -11.85, 19.05)"
606,12:45:37,1:57:53,"(-8.222876025, -0.9943943099999999, -0.726672765)","(44.55, -10.049999999999999, -14.25)"
607,12:45:48,1:58:4,"(-8.299367895, -1.07088618, -0.7649187)","(42.3, -2.1, 26.849999999999998)"
608,12:45:58,1:58:14,"(-8.222876025, -1.032640245, -0.7649187)","(46.949999999999996, -14.1, 1.05)"
609,12:46:09,1:58:25,"(-8.528843505, -1.109132115, -0.7649187)","(46.8, 7.8, -0.6)"
610,12:46:19,1:58:35,"(0.45895122, -0.30596748, -0.22947561)","(47.1, -5.3999999999999995, 16.5)"
611,12:46:30,1:58:46,"(-7.11374391, -1.5298374, 1.37685366)","(32.55, 22.349999999999998, -19.349999999999998)"
612,12:46:40,1:58:56,"(-9.064286595, -1.83580488, -3.327396345)","(46.949999999999996, -9.299999999999999, 14.7)"
613,12:46:51,1:59:7,"(-10.976583345, -2.562477645, -4.933725614999999)","(47.85, -0.75, 5.3999999999999995)"
614,12:47:02,1:59:18,"(-12.92712603, -0.84141057, -2.638969515)","(37.65, -22.05, -21.75)"
615,12:47:12,1:59:28,"(-7.457957325, -0.573689025, 0.38245935)","(42.75, 11.4, 15.899999999999999)"
616,12:47:23,1:59:39,"(-8.337613829999999, -0.267721545, -1.6063292699999998)","(34.05, -8.85, 38.25)"
617,12:47:33,1:59:49,"(-9.982189035, -2.67721545, -1.874050815)","(27.9, -19.349999999999998, 35.85)"
618,12:47:44,2:0:0,"(-8.18463009, -3.28915041, -0.956148375)","(43.949999999999996, -13.799999999999999, -16.95)"
619,12:47:54,2:0:10,"(-9.637975619999999, -5.660398379999999, -1.338607725)","(44.699999999999996, -3.15, 15.6)"
620,12:48:05,2:0:21,"(-9.752713425, -1.1856239849999999, -0.9943943099999999)","(23.4, 31.049999999999997, -11.7)"
621,12:48:15,2:0:31,"(-7.763924804999999, 1.30036179, -0.45895122)","(42.449999999999996, 13.2, 2.6999999999999997)"
622,12:48:26,2:0:42,"(-9.1790244, -3.51862602, 1.9887886199999998)","(29.25, -13.799999999999999, -38.4)"
623,12:48:37,2:0:52,"(-11.817993914999999, -0.267721545, -2.90669106)","(45.6, 5.85, -0.15)"
624,12:48:47,2:1:3,"(-13.845028469999999, 2.4094939049999997, -5.316184965000001)","(46.949999999999996, -12.0, 1.95)"
625,12:48:58,2:1:13,"(-7.03725204, -2.485985775, 2.485985775)","(23.4, 23.55, -27.15)"
626,12:49:08,2:1:24,"(-2.868445125, -3.9775772399999996, 5.545660575)","(45.15, 4.95, -4.35)"
627,12:49:19,2:1:35,"(-12.659404485, 4.0540691099999995, -4.551266265)","(34.199999999999996, 16.05, -21.45)"
628,12:49:29,2:1:45,"(-10.747107734999998, -0.8031646349999999, -3.250904475)","(25.8, 14.25, 23.4)"
629,12:49:40,2:1:56,"(-11.665010175, -2.4094939049999997, -3.633363825)","(39.9, -5.3999999999999995, -28.799999999999997)"
630,12:49:50,2:2:6,"(-10.24991058, -4.13056098, -2.3712479699999998)","(17.55, 29.549999999999997, -16.8)"
631,12:50:01,2:2:17,"(-8.79656505, -0.038245935, -0.879656505)","(38.25, -38.55, -8.25)"
632,12:50:12,2:2:27,"(-11.320796759999999, -1.338607725, -2.944936995)","(35.55, -26.849999999999998, 14.7)"
633,12:50:22,2:2:38,"(-11.970977655, -2.180018295, -3.633363825)","(32.25, -4.05, 18.0)"
634,12:50:33,2:2:49,"(-10.40289432, 5.4691687049999995, 0.30596748)","(44.55, -26.849999999999998, -15.299999999999999)"
635,12:50:43,2:2:59,"(-8.605335375, -3.13616667, -0.114737805)","(45.75, -19.95, -19.349999999999998)"
636,12:50:54,2:3:10,"(-11.62676424, -1.032640245, -4.43652846)","(10.5, 19.2, 17.099999999999998)"
637,12:51:04,2:3:20,"(-9.71446749, -1.109132115, 0.420705285)","(27.0, -26.849999999999998, 21.9)"
638,12:51:15,2:3:31,"(-10.7088618, -0.9943943099999999, -0.68842683)","(14.85, 0.3, -49.35)"
639,12:51:26,2:3:41,"(-10.441140255, -0.191229675, 0.91790244)","(40.5, -20.099999999999998, -35.699999999999996)"
640,12:51:36,2:3:52,"(-8.987794725, -0.726672765, -1.568083335)","(43.949999999999996, -17.25, -24.3)"
641,12:51:47,2:4:3,"(-4.015823175, 0.038245935, -2.715461385)","(40.05, -35.55, -25.5)"
642,12:51:57,2:4:13,"(-10.441140255, 2.256510165, -1.14737805)","(31.049999999999997, -19.5, -50.25)"
643,12:52:08,2:4:24,"(-11.85623985, -4.092315045, -1.9887886199999998)","(44.699999999999996, -12.75, -20.4)"
644,12:52:18,2:4:34,"(-11.894485784999999, -1.91229675, -4.015823175)","(29.549999999999997, 15.149999999999999, -19.05)"
645,12:52:29,2:4:45,"(-11.817993914999999, 1.338607725, -2.3330020350000003)","(24.9, -54.3, -10.35)"
646,12:52:40,2:4:55,"(-3.174412605, 0.344213415, -3.327396345)","(10.95, -51.449999999999996, 7.5)"
647,12:52:50,2:5:6,"(-11.359042695, -0.53544309, -2.715461385)","(18.75, -53.85, 0.0)"
648,12:53:01,2:5:17,"(-10.40289432, 0.15298374, -2.0270345549999997)","(26.7, -54.0, -18.75)"
649,12:53:11,2:5:27,"(-10.441140255, -0.114737805, -6.50180895)","(33.0, -16.349999999999998, 8.7)"
650,12:53:22,2:5:38,"(-8.56708944, -3.250904475, -1.7975589449999998)","(10.65, 16.2, 3.4499999999999997)"
651,12:53:33,2:5:48,"(-12.08571546, -0.114737805, -8.222876025)","(28.349999999999998, -34.5, -53.4)"
652,12:53:43,2:5:59,"(-7.87866261, -0.07649187, -5.086709354999999)","(40.949999999999996, -33.9, -17.25)"
653,12:53:54,2:6:10,"(-10.976583345, -0.420705285, -2.14177236)","(23.4, -36.9, -57.0)"
654,12:54:05,2:6:20,"(-10.288156514999999, -4.321790655, -1.45334553)","(6.8999999999999995, 23.099999999999998, -28.95)"
655,12:54:15,2:6:31,"(-10.594123995, 0.573689025, -5.50741464)","(25.2, 12.6, -11.85)"
656,12:54:26,2:6:41,"(-8.375859765, 0.53544309, 0.344213415)","(14.549999999999999, -54.449999999999996, 1.2)"
657,12:54:36,2:6:52,"(-8.56708944, -0.267721545, -3.8245935)","(39.3, -39.449999999999996, -17.7)"
658,12:54:47,2:7:3,"(-9.064286595, -0.038245935, -3.556871955)","(42.9, -15.75, -25.5)"
659,12:54:57,2:7:13,"(-10.55587806, -0.38245935, -4.5895122)","(17.25, -21.3, 17.25)"
660,12:55:08,2:7:24,"(-11.77974798, 1.9887886199999998, -3.556871955)","(31.349999999999998, -18.45, 5.55)"
661,12:55:19,2:7:34,"(-8.681827245, 2.60072358, -9.140778465)","(40.05, -30.45, -12.0)"
662,12:55:29,2:7:45,"(-10.594123995, 0.91790244, -8.758319115)","(38.25, -30.15, -32.699999999999996)"
663,12:55:40,2:7:56,"(-7.26672765, -1.7210670750000001, -0.956148375)","(38.55, -36.0, -10.799999999999999)"
664,12:55:50,2:8:6,"(-8.452351635, -1.338607725, -4.857233745)","(37.5, -3.3, -13.65)"
665,12:56:01,2:8:17,"(-7.228481715, 0.91790244, -7.381465454999999)","(34.65, -7.949999999999999, -3.75)"
666,12:56:11,2:8:27,"(-10.7088618, -0.61193496, -2.485985775)","(22.2, -29.549999999999997, 11.7)"
667,12:56:22,2:8:38,"(-7.151989844999999, -0.8031646349999999, -4.780741875)","(29.549999999999997, 4.5, -23.55)"
668,12:56:32,2:8:48,"(-7.49620326, -0.726672765, -6.9225142349999995)","(15.45, 18.9, -24.9)"
669,12:56:43,2:8:59,"(-8.03164635, -0.114737805, -5.81338212)","(33.3, -0.3, -40.199999999999996)"
670,12:56:53,2:9:9,"(-11.39728863, -2.44773984, -1.7210670750000001)","(38.4, -8.549999999999999, -11.85)"
671,12:57:04,2:9:20,"(-9.370254075, -0.15298374, -4.5895122)","(34.5, -1.65, -36.15)"
672,12:57:15,2:9:31,"(-7.57269513, -1.22386992, -0.956148375)","(39.3, -14.549999999999999, -42.449999999999996)"
673,12:57:25,2:9:41,"(-8.87305692, -0.84141057, -1.5298374)","(39.9, -38.699999999999996, -28.2)"
674,12:57:36,2:9:52,"(-8.911302854999999, -0.91790244, -5.04846342)","(32.55, -6.6, -48.6)"
675,12:57:46,2:10:2,"(-8.337613829999999, -0.30596748, -2.90669106)","(32.699999999999996, 0.6, -32.85)"
676,12:57:57,2:10:13,"(-11.4737805, -2.2947561, -2.21826423)","(30.599999999999998, 1.2, -43.05)"
677,12:58:07,2:10:23,"(-7.725678869999999, -1.032640245, -3.4421341500000002)","(30.299999999999997, -8.549999999999999, -52.35)"
678,12:58:18,2:10:34,"(-10.594123995, 1.5298374, -7.419711390000001)","(40.5, -33.449999999999996, -19.8)"
679,12:58:29,2:10:44,"(-10.24991058, -0.726672765, -2.0270345549999997)","(41.4, -15.149999999999999, -24.15)"
680,12:58:39,2:10:55,"(-9.370254075, 0.726672765, -4.6660040700000005)","(36.6, -37.8, -10.65)"
681,12:58:50,2:11:6,"(-7.6874329349999995, -1.07088618, -5.3544309)","(40.949999999999996, -15.149999999999999, -27.599999999999998)"
682,12:59:01,2:11:16,"(-7.80217074, 0.07649187, -2.715461385)","(23.7, -59.55, -28.5)"
683,12:59:11,2:11:27,"(-9.140778465, 0.22947561, -7.6109410650000004)","(27.45, -12.75, 4.2)"
684,12:59:22,2:11:38,"(-10.364648384999999, 1.338607725, -6.8842683000000005)","(41.699999999999996, -24.599999999999998, -19.65)"
685,12:59:32,2:11:48,"(-8.834810985, -0.038245935, -2.485985775)","(25.349999999999998, -6.3, 4.2)"
686,12:59:43,2:11:59,"(-8.528843505, 0.15298374, -5.58390651)","(34.65, -23.25, -51.0)"
687,12:59:54,2:12:9,"(-8.337613829999999, 2.67721545, -9.56148375)","(33.6, -0.15, -12.75)"
688,13:00:04,2:12:20,"(-6.73128456, -0.267721545, -2.485985775)","(36.75, -8.85, -8.4)"
689,13:00:15,2:12:30,"(-9.9439431, -0.114737805, -2.75370732)","(27.75, -50.4, -7.05)"
690,13:00:25,2:12:41,"(-9.79095936, 0.49719715499999995, -9.599729685)","(20.849999999999998, 13.2, -20.099999999999998)"
691,13:00:36,2:12:52,"(-10.173418709999998, -1.07088618, 0.879656505)","(23.25, -19.05, -61.949999999999996)"
692,13:00:46,2:13:2,"(-7.87866261, 0.344213415, -3.250904475)","(35.55, -47.85, -15.899999999999999)"
693,13:00:57,2:13:13,"(-9.25551627, 0.0, -6.27233334)","(30.9, 7.8, -25.05)"
694,13:01:07,2:13:23,"(-8.03164635, -0.038245935, -4.780741875)","(38.55, -36.449999999999996, 4.5)"
695,13:01:18,2:13:34,"(-10.86184554, -1.07088618, -2.944936995)","(32.85, 5.85, -21.3)"
696,13:01:29,2:13:44,"(-8.605335375, -0.726672765, -5.316184965000001)","(35.85, -6.3, -2.1)"
